Time resolution is 1 ps
Time  op   A        B      Z_high    Z_low     valid
0  0000  0  0  0     0      0
50000  0000  64  19  0     7d      1
70000  0000  64  19  0     7d      0
110000  0000  ff9c  19  ffff     ffb5      1
130000  0000  ff9c  19  ffff     ffb5      0
170000  0000  ff9c  ffe7  ffff     ff83      1
190000  0000  ff9c  ffe7  ffff     ff83      0
230000  0000  7fff  1  ffff     8000      1
250000  0000  7fff  1  ffff     8000      0
290000  0001  fa  32  0     c8      1
310000  0001  fa  32  0     c8      0
350000  0001  ff06  32  ffff     fed4      1
370000  0001  ff06  32  ffff     fed4      0
410000  0001  ff06  ffce  ffff     ff38      1
430000  0001  ff06  ffce  ffff     ff38      0
470000  0001  8000  1  0     7fff      1
490000  0001  8000  1  0     7fff      0
530000  0010  96  78  0     7fff      0
710000  0010  96  78  0     4650      1
730000  0010  ff6a  78  0     4650      0
910000  0010  ff6a  78  ffff     b9b0      1
930000  0010  c568  d120  ffff     b9b0      0
1110000  0010  c568  d120  aba     9500      1
1130000  0011  64  2  aba     9500      0
1490000  0011  64  2  0     32      1
1510000  0011  64  3  0     32      0
1870000  0011  64  3  1     21      1
1890000  0011  64  fffd  1     21      0
2250000  0011  64  fffd  1     ffdf      1
2270000  0011  ff9c  fffd  1     ffdf      0
2630000  0011  ff9c  fffd  ffff     21      1
2650000  0011  f  0  xxxx     xxxx      1
2670000  0011  f  0  xxxx     xxxx      0
2690000  0100  3039  d8f0  0     1      1
2710000  0100  3039  d8f0  0     1      0
2750000  0100  1f4  1f4  0     0      1
2770000  0100  1f4  1f4  0     0      0
2810000  0100  cfc7  2710  0     ffff      1
2830000  0100  cfc7  2710  0     ffff      0
2870000  0101  fff  f0f  0     f0f0      1
2890000  0101  fff  f0f  0     f0f0      0
2930000  0110  fff  f0f  0     f0f      1
2950000  0110  fff  f0f  0     f0f      0
2990000  0111  fff  f0f  0     f000      1
3010000  0111  fff  f0f  0     f000      0
3050000  1000  fff  f0f  0     fff      1
3070000  1000  fff  f0f  0     fff      0
3110000  1001  fff  f0f  0     f0      1
3130000  1001  fff  f0f  0     f0      0
3170000  1010  f0f  0  0     f0f      1
3190000  1010  f0f  0  0     f0f      0
3230000  1010  f0f  1  0     1e1e      1
3250000  1010  f0f  1  0     1e1e      0
3290000  1010  f0f  4  0     f0f0      1
3310000  1010  f0f  4  0     f0f0      0
3350000  1010  f0f  8  0     f00      1
3370000  1010  f0f  8  0     f00      0
3410000  1010  f0f  f  0     8000      1
3430000  1010  f0f  f  0     8000      0
3470000  1011  f0f  0  0     f0f      1
3490000  1011  f0f  0  0     f0f      0
3530000  1011  f0f  1  0     787      1
3550000  1011  f0f  1  0     787      0
3590000  1011  f0f  4  0     f0      1
3610000  1011  f0f  4  0     f0      0
3650000  1011  f0f  8  0     f      1
3670000  1011  f0f  8  0     f      0
3710000  1011  f0f  f  0     0      1
3730000  1011  f0f  f  0     0      0
3770000  1100  f0f  0  0     f0f      1
3790000  1100  f0f  0  0     f0f      0
3830000  1100  f0f  1  0     1e1e      1
3850000  1100  f0f  1  0     1e1e      0
3890000  1100  f0f  4  0     f0f0      1
3910000  1100  f0f  4  0     f0f0      0
3950000  1100  f0f  8  0     f0f      1
3970000  1100  f0f  8  0     f0f      0
4010000  1100  f0f  f  0     8787      1
4030000  1100  f0f  f  0     8787      0
4070000  1101  f0f  0  0     f0f      1
4090000  1101  f0f  0  0     f0f      0
4130000  1101  f0f  1  0     8787      1
4150000  1101  f0f  1  0     8787      0
4190000  1101  f0f  4  0     f0f0      1
4210000  1101  f0f  4  0     f0f0      0
4250000  1101  f0f  8  0     f0f      1
4270000  1101  f0f  8  0     f0f      0
4310000  1101  f0f  f  0     1e1e      1
4330000  1101  f0f  f  0     1e1e      0
$finish called at time : 4370 ns : File "D:/Do_An_1/ALU_16bit/ALU_16bit_tb.v" Line 157
