Time resolution is 1 ps
time  en  op   A        B       Z_high    Z_low     valid
0  1  0000  0000  0000  0000  0000  0
50000  1  0000  0064  0019  0000  007d  1
70000  1  0000  0064  0019  0000  007d  0
110000  1  0000  ff9c  0019  ffff  ffb5  1
130000  1  0000  ff9c  0019  ffff  ffb5  0
170000  1  0000  ff9c  ffe7  ffff  ff83  1
190000  1  0000  ff9c  ffe7  ffff  ff83  0
230000  1  0000  7fff  0001  ffff  8000  1
250000  1  0000  7fff  0001  ffff  8000  0
290000  1  0001  00fa  0032  0000  00c8  1
310000  1  0001  00fa  0032  0000  00c8  0
350000  1  0001  ff06  0032  ffff  fed4  1
370000  1  0001  ff06  0032  ffff  fed4  0
410000  1  0001  ff06  ffce  ffff  ff38  1
430000  1  0001  ff06  ffce  ffff  ff38  0
470000  1  0001  8000  0001  0000  7fff  1
490000  1  0001  8000  0001  0000  7fff  0
530000  1  0010  0096  0078  0000  7fff  0
570000  0  0010  0096  0078  0000  7fff  0
770000  1  0010  0096  0078  0000  7fff  0
910000  1  0010  0096  0078  0000  4650  1
930000  1  0010  ff6a  0078  0000  4650  0
1110000  1  0010  ff6a  0078  ffff  b9b0  1
1130000  1  0010  c568  d120  ffff  b9b0  0
1170000  0  0010  c568  d120  ffff  b9b0  0
1420000  1  0010  c568  d120  ffff  b9b0  0
1570000  1  0010  c568  d120  0aba  9500  1
1590000  1  0011  0064  0002  0aba  9500  0
1620000  0  0011  0064  0002  0aba  9500  0
1770000  1  0011  0064  0002  0aba  9500  0
2070000  1  0011  0064  0002  0000  0032  1
2090000  1  0011  0064  0003  0000  0032  0
2120000  0  0011  0064  0003  0000  0032  0
2320000  1  0011  0064  0003  0000  0032  0
2630000  1  0011  0064  0003  0001  0021  1
2650000  1  0011  0064  fffd  0001  0021  0
2990000  1  0011  0064  fffd  0001  ffdf  1
3010000  1  0011  ff9c  fffd  0001  ffdf  0
3350000  1  0011  ff9c  fffd  ffff  0021  1
3370000  1  0011  000f  0000  xxxx  xxxx  1
3390000  1  0011  000f  0000  xxxx  xxxx  0
3410000  1  0100  3039  d8f0  0000  0001  1
3430000  1  0100  3039  d8f0  0000  0001  0
3470000  1  0100  01f4  01f4  0000  0000  1
3490000  1  0100  01f4  01f4  0000  0000  0
3530000  1  0100  cfc7  2710  0000  ffff  1
3550000  1  0100  cfc7  2710  0000  ffff  0
3590000  1  0101  0f0f  0f0f  0000  f0f0  1
3610000  1  0101  0f0f  0f0f  0000  f0f0  0
3650000  1  0110  0f0f  0f0f  0000  0f0f  1
3670000  1  0110  0f0f  0f0f  0000  0f0f  0
3710000  1  0111  0f0f  0f0f  0000  f0f0  1
3730000  1  0111  0f0f  0f0f  0000  f0f0  0
3770000  1  1000  0f0f  0f0f  0000  0f0f  1
3790000  1  1000  0f0f  0f0f  0000  0f0f  0
3830000  1  1001  0f0f  0f0f  0000  0000  1
3850000  1  1001  0f0f  0f0f  0000  0000  0
3890000  1  1010  0f0f  0000  0000  0f0f  1
3910000  1  1010  0f0f  0000  0000  0f0f  0
3950000  1  1010  0f0f  0008  0000  0f00  1
3970000  1  1010  0f0f  0008  0000  0f00  0
4010000  1  1011  0f0f  0000  0000  0f0f  1
4030000  1  1011  0f0f  0000  0000  0f0f  0
4070000  1  1011  0f0f  0008  0000  000f  1
4090000  1  1011  0f0f  0008  0000  000f  0
4130000  1  1011  0f0f  000f  0000  0000  1
4150000  1  1011  0f0f  000f  0000  0000  0
4190000  1  1100  0f0f  0000  0000  0f0f  1
4210000  1  1100  0f0f  0000  0000  0f0f  0
4250000  1  1100  0f0f  0001  0000  1e1e  1
4270000  1  1100  0f0f  0001  0000  1e1e  0
4310000  1  1100  0f0f  0004  0000  f0f0  1
4330000  1  1100  0f0f  0004  0000  f0f0  0
4370000  1  1100  0f0f  0008  0000  0f0f  1
4390000  1  1100  0f0f  0008  0000  0f0f  0
4430000  1  1100  0f0f  000f  0000  8787  1
4450000  1  1100  0f0f  000f  0000  8787  0
4490000  1  1101  0f0f  0000  0000  0f0f  1
4510000  1  1101  0f0f  0000  0000  0f0f  0
4550000  1  1101  0f0f  0001  0000  8787  1
4570000  1  1101  0f0f  0001  0000  8787  0
4610000  1  1101  0f0f  0004  0000  f0f0  1
4630000  1  1101  0f0f  0004  0000  f0f0  0
4670000  1  1101  0f0f  0008  0000  0f0f  1
4690000  1  1101  0f0f  0008  0000  0f0f  0
4730000  1  1101  0f0f  000f  0000  1e1e  1
4750000  1  1101  0f0f  000f  0000  1e1e  0
$finish called at time : 4790 ns : File "D:/Do_An_1/ALU_AND_based/ALU_16bit_CG_tb.v" Line 180
